date,open,high,low,btc_close,btc_volume,btc_quote_volume,btc_num_trades
2026-03-06,70891.02,71419.98,67744.78,68114.02,22629.88722,1574601198.874888,5302899
2026-03-07,68114.02,68551.04,66915.26,67262.91,12719.54315,861729861.8530488,2067476
2026-03-08,67262.91,68200.0,65618.49,65971.2,21593.63901,1447522160.3154545,3028392
2026-03-09,65971.2,69516.65,65821.97,68432.16,28896.7213,1967622051.44968,5093667
2026-03-10,68432.16,71777.0,68391.41,69948.63,32602.57726,2292525621.4405203,5176064
2026-03-11,69948.64,71321.0,68977.91,70191.86,27249.27542,1911300596.234168,4759855
2026-03-12,70191.86,70800.0,69205.91,70541.34,21997.1605,1540745224.510106,4344059
2026-03-13,70541.34,73913.74,70386.01,70930.0,35996.61678,2591768526.2961473,5312490
2026-03-14,70930.01,71307.92,70317.0,71211.95,13017.24737,921308630.9462768,1661739
2026-03-15,71211.95,71989.93,70858.82,71706.14,9992.73597,714660144.6544294,1526306
